algorithm,seed,year,count
random,954358,1986,450
random,954358,1987,511
random,954358,1988,512
random,954358,1989,507
random,954358,1990,480
random,954358,1991,472
random,954358,1992,547
random,954358,1993,670
random,954358,1994,826
random,954358,1995,867
random,954358,1996,986
random,954358,1997,901
random,954358,1998,908
random,954358,1999,851
random,954358,2000,953
random,954358,2001,913
random,954358,2002,953
random,954358,2003,826
random,954358,2004,969
random,954358,2005,833
random,954358,2006,997
random,954358,2007,1011
random,954358,2008,905
random,954358,2009,922
random,954358,2010,837
random,954358,2011,877
random,954358,2012,762
random,954358,2013,746
random,954358,2014,755
random,954358,2015,775
random,954358,2016,671
random,954358,2017,95
random,954358,2018,14
random,954358,2019,6
BPR,954358,1902,0
BPR,954358,1903,0
BPR,954358,1915,0
BPR,954358,1916,0
BPR,954358,1917,0
BPR,954358,1918,0
BPR,954358,1919,0
BPR,954358,1920,0
BPR,954358,1921,0
BPR,954358,1922,2
BPR,954358,1923,0
BPR,954358,1924,0
BPR,954358,1925,0
BPR,954358,1926,0
BPR,954358,1927,9
BPR,954358,1928,0
BPR,954358,1929,0
BPR,954358,1930,0
BPR,954358,1931,18
BPR,954358,1932,0
BPR,954358,1933,6
BPR,954358,1934,5
BPR,954358,1935,1
BPR,954358,1936,10
BPR,954358,1937,7
BPR,954358,1938,5
BPR,954358,1939,32
BPR,954358,1940,48
BPR,954358,1941,28
BPR,954358,1942,54
BPR,954358,1943,0
BPR,954358,1944,16
BPR,954358,1945,0
BPR,954358,1946,30
BPR,954358,1947,0
BPR,954358,1948,34
BPR,954358,1949,26
BPR,954358,1950,106
BPR,954358,1951,33
BPR,954358,1952,33
BPR,954358,1953,63
BPR,954358,1954,95
BPR,954358,1955,27
BPR,954358,1956,6
BPR,954358,1957,57
BPR,954358,1958,21
BPR,954358,1959,69
BPR,954358,1960,20
BPR,954358,1961,36
BPR,954358,1962,34
BPR,954358,1963,28
BPR,954358,1964,133
BPR,954358,1965,27
BPR,954358,1966,47
BPR,954358,1967,42
BPR,954358,1968,69
BPR,954358,1969,11
BPR,954358,1970,11
BPR,954358,1971,73
BPR,954358,1972,135
BPR,954358,1973,34
BPR,954358,1974,111
BPR,954358,1975,139
BPR,954358,1976,73
BPR,954358,1977,219
BPR,954358,1978,36
BPR,954358,1979,170
BPR,954358,1980,154
BPR,954358,1981,117
BPR,954358,1982,152
BPR,954358,1983,121
BPR,954358,1984,124
BPR,954358,1985,90
BPR,954358,1986,129
BPR,954358,1987,135
BPR,954358,1988,133
BPR,954358,1989,110
BPR,954358,1990,108
BPR,954358,1991,236
BPR,954358,1992,136
BPR,954358,1993,214
BPR,954358,1994,744
BPR,954358,1995,428
BPR,954358,1996,196
BPR,954358,1997,288
BPR,954358,1998,344
BPR,954358,1999,1276
BPR,954358,2000,851
BPR,954358,2001,1270
BPR,954358,2002,1310
BPR,954358,2003,1680
BPR,954358,2004,1642
BPR,954358,2005,1043
BPR,954358,2006,1971
BPR,954358,2007,1658
BPR,954358,2008,3457
BPR,954358,2009,3716
BPR,954358,2010,2415
BPR,954358,2011,606
BPR,954358,2012,1493
BPR,954358,2013,311
BPR,954358,2014,792
BPR,954358,2015,214
BPR,954358,2016,32
BPR,954358,2017,0
BPR,954358,2018,0
BPR,954358,2019,0
listcvae,0,1902,0
listcvae,0,1903,0
listcvae,0,1915,0
listcvae,0,1916,0
listcvae,0,1917,0
listcvae,0,1918,0
listcvae,0,1919,0
listcvae,0,1920,0
listcvae,0,1921,0
listcvae,0,1922,1
listcvae,0,1923,0
listcvae,0,1924,0
listcvae,0,1925,1
listcvae,0,1926,0
listcvae,0,1927,2
listcvae,0,1928,0
listcvae,0,1929,0
listcvae,0,1930,0
listcvae,0,1931,10
listcvae,0,1932,1
listcvae,0,1933,0
listcvae,0,1934,1
listcvae,0,1935,0
listcvae,0,1936,0
listcvae,0,1937,0
listcvae,0,1938,0
listcvae,0,1939,35
listcvae,0,1940,10
listcvae,0,1941,15
listcvae,0,1942,5
listcvae,0,1943,0
listcvae,0,1944,3
listcvae,0,1945,0
listcvae,0,1946,4
listcvae,0,1947,0
listcvae,0,1948,4
listcvae,0,1949,0
listcvae,0,1950,29
listcvae,0,1951,6
listcvae,0,1952,2
listcvae,0,1953,7
listcvae,0,1954,14
listcvae,0,1955,0
listcvae,0,1956,0
listcvae,0,1957,24
listcvae,0,1958,13
listcvae,0,1959,16
listcvae,0,1960,15
listcvae,0,1961,10
listcvae,0,1962,13
listcvae,0,1963,8
listcvae,0,1964,93
listcvae,0,1965,28
listcvae,0,1966,22
listcvae,0,1967,37
listcvae,0,1968,47
listcvae,0,1969,2
listcvae,0,1970,0
listcvae,0,1971,65
listcvae,0,1972,24
listcvae,0,1973,6
listcvae,0,1974,43
listcvae,0,1975,32
listcvae,0,1976,82
listcvae,0,1977,64
listcvae,0,1978,1
listcvae,0,1979,85
listcvae,0,1980,66
listcvae,0,1981,12
listcvae,0,1982,68
listcvae,0,1983,19
listcvae,0,1984,34
listcvae,0,1985,54
listcvae,0,1986,20
listcvae,0,1987,35
listcvae,0,1988,19
listcvae,0,1989,48
listcvae,0,1990,17
listcvae,0,1991,38
listcvae,0,1992,32
listcvae,0,1993,85
listcvae,0,1994,636
listcvae,0,1995,316
listcvae,0,1996,115
listcvae,0,1997,136
listcvae,0,1998,191
listcvae,0,1999,305
listcvae,0,2000,307
listcvae,0,2001,415
listcvae,0,2002,114
listcvae,0,2003,132
listcvae,0,2004,345
listcvae,0,2005,123
listcvae,0,2006,533
listcvae,0,2007,286
listcvae,0,2008,506
listcvae,0,2009,986
listcvae,0,2010,1412
listcvae,0,2011,487
listcvae,0,2012,1192
listcvae,0,2013,1034
listcvae,0,2014,1663
listcvae,0,2015,6056
listcvae,0,2016,13061
listcvae,0,2017,19
listcvae,0,2018,0
listcvae,0,2019,0
listcvae,54425,1902,0
listcvae,54425,1903,0
listcvae,54425,1915,0
listcvae,54425,1916,0
listcvae,54425,1917,0
listcvae,54425,1918,0
listcvae,54425,1919,0
listcvae,54425,1920,0
listcvae,54425,1921,0
listcvae,54425,1922,0
listcvae,54425,1923,0
listcvae,54425,1924,0
listcvae,54425,1925,1
listcvae,54425,1926,0
listcvae,54425,1927,3
listcvae,54425,1928,0
listcvae,54425,1929,0
listcvae,54425,1930,0
listcvae,54425,1931,6
listcvae,54425,1932,0
listcvae,54425,1933,0
listcvae,54425,1934,0
listcvae,54425,1935,0
listcvae,54425,1936,0
listcvae,54425,1937,1
listcvae,54425,1938,0
listcvae,54425,1939,19
listcvae,54425,1940,3
listcvae,54425,1941,6
listcvae,54425,1942,11
listcvae,54425,1943,0
listcvae,54425,1944,3
listcvae,54425,1945,0
listcvae,54425,1946,7
listcvae,54425,1947,0
listcvae,54425,1948,0
listcvae,54425,1949,0
listcvae,54425,1950,11
listcvae,54425,1951,6
